"Welche Farbe hatte der Lastwagen, der in den Briefkasten krachte?",Wie viele Wanderer gingen in dem Schneesturm verloren?,Wo waren die beiden Enten?,"Wie viele Pfeile hat Benjamin geschossen, bevor er ins Schwarze getroffen hat?",Wo hat Gary ein kariertes Flanellhemd getragen?,"Welche Farbe hatte die Bank, auf der das orangefarbene Kätzchen schlief?","Was war der Inhalt des Umschlages, auf den keine Briefmarke geklebt wurde?",Wie viele Tulpen gibt es noch?,Über was treiben die Gewitterwolken?,Was war außer Erdnüssen noch in der Schokolade?,Wo ist es 6 Uhr?,Welche Toilette ist schon wieder verstopft?,"Welche Farbe hatte das Kerzenwachs, das sich auf dem Küchentisch verteilt hat?",In welchem Teil des Hauses hingen die fünf Hemden?,Von welcher Karte gab es fünf Stück in dem Stapel?,"Was war auf den Webseiten, die Brad in der Schule angesehen hat?",Wo sind zwei Flugzeuge auf der Landebahn zusammengestoßen?,Was ist sehr teuer in der Herstellung?,Was ist Rebeccas Lieblingsfest?,Der tote Körper welchen Tieres war voll von Maden?
braun,4,park,drei,Laden,grün,geburtstagsgrüße,zwei,Stadt,Walnüsse,In Korea.,die obere Toilette,Gelb,keller,von den Neunen,porno,auf den Kanaren,visitenkarten,Ostern,Des Schafs
Braun,vier,Im Park,3,laden,Grün,Geburtstag,2,die Stadt,,In korea,die obere,gelb,Im Keller,neunen,pornos,kanarische Inseln,visitenkarte,ostern,Schaf
,Vier,Im Park.,,im Laden,,Geburtstagskarte,,Über die Stadt.,,korea,die Toilette oben,,im keller.,neune,porn,auf den canaren,die Visitenkarten,Das Osterfest,vom Schaf
,,,,,,Geburtstagsgruß,,,,,oben,,,die Neuner Karten,pornographie,canarische Inseln,,,das schaf
,,,,,,Grüße zum Geburtstag,,,,,die oben,,,neuner karten,pornographisches Material,auf den Kanarischen Inseln,,,
,,,,,,,,,,,obere,,,9,Pornographie,kanaren,,,
,,,,,,,,,,,obere Toilette,,,9er,Pornobilder,canaren,,,
,,,,,,,,,,,,,,9er Karten,pornographische Bilder,,,,
,,,,,,,,,,,,,,die 9er,,,,,
